method,time,quantity,target_left,target_right,pairwise_rms,checkpoint_step
early_all_negative_identification,0.4375,state_fractional_coordinate,0,1,0.03541274741292,200
early_all_negative_identification,0.4375,state_lattice_log,0,1,0.14886753261089325,200
early_all_negative_identification,0.4375,velocity_type_logit,0,1,0.10406917333602905,200
early_all_negative_identification,0.4375,velocity_fractional_coordinate,0,1,0.06068029999732971,200
early_all_negative_identification,0.4375,velocity_lattice_log,0,1,0.33526524901390076,200
early_all_negative_identification,0.5,state_type_logit,0,1,0.05362211912870407,200
early_all_negative_identification,0.5,state_fractional_coordinate,0,1,0.038080647587776184,200
early_all_negative_identification,0.5,state_lattice_log,0,1,0.1698167771100998,200
early_all_negative_identification,0.5,velocity_type_logit,0,1,0.10158633440732956,200
early_all_negative_identification,0.5,velocity_fractional_coordinate,0,1,0.06189114227890968,200
early_all_negative_identification,0.5,velocity_lattice_log,0,1,0.32242467999458313,200
early_all_negative_identification,0.5625,state_type_logit,0,1,0.05992106348276138,200
early_all_negative_identification,0.5625,state_fractional_coordinate,0,1,0.041561949998140335,200
early_all_negative_identification,0.5625,state_lattice_log,0,1,0.18994297087192535,200
early_all_negative_identification,0.5625,velocity_type_logit,0,1,0.10144902020692825,200
early_all_negative_identification,0.5625,velocity_fractional_coordinate,0,1,0.05195393040776253,200
early_all_negative_identification,0.5625,velocity_lattice_log,0,1,0.32764115929603577,200
early_all_negative_identification,0.625,state_type_logit,0,1,0.06622762233018875,200
early_all_negative_identification,0.625,state_fractional_coordinate,0,1,0.04423624277114868,200
early_all_negative_identification,0.625,state_lattice_log,0,1,0.21040478348731995,200
early_all_negative_identification,0.625,velocity_type_logit,0,1,0.0998442992568016,200
early_all_negative_identification,0.625,velocity_fractional_coordinate,0,1,0.05180097371339798,200
early_all_negative_identification,0.625,velocity_lattice_log,0,1,0.3170439302921295,200
early_all_negative_identification,0.6875,state_type_logit,0,1,0.07240734994411469,200
early_all_negative_identification,0.6875,state_fractional_coordinate,0,1,0.047158099710941315,200
early_all_negative_identification,0.6875,state_lattice_log,0,1,0.2301931530237198,200
early_all_negative_identification,0.6875,velocity_type_logit,0,1,0.09958796948194504,200
early_all_negative_identification,0.6875,velocity_fractional_coordinate,0,1,0.0400843471288681,200
early_all_negative_identification,0.6875,velocity_lattice_log,0,1,0.3214793801307678,200
early_all_negative_identification,0.75,state_type_logit,0,1,0.07858056575059891,200
early_all_negative_identification,0.75,state_fractional_coordinate,0,1,0.04901283606886864,200
early_all_negative_identification,0.75,state_lattice_log,0,1,0.25026100873947144,200
early_all_negative_identification,0.75,velocity_type_logit,0,1,0.09817821532487869,200
early_all_negative_identification,0.75,velocity_fractional_coordinate,0,1,0.033226754516363144,200
early_all_negative_identification,0.75,velocity_lattice_log,0,1,0.31052497029304504,200
