method,time,target_left,target_right,alignment_frame_jsd,automorphism_792_jsd,aligned_token_rms
orbit_alignment,0.625,1,7,0.0163433738052845,0.06528230011463165,0.21168303489685059
orbit_alignment,0.625,2,3,0.028838492929935455,0.004300809931010008,0.07373369485139847
orbit_alignment,0.625,2,4,0.23536518216133118,0.0028530112467706203,0.1740996241569519
orbit_alignment,0.625,2,5,0.005239443387836218,0.01973881386220455,0.1124648004770279
orbit_alignment,0.625,2,6,0.006664786487817764,0.031897492706775665,0.15556174516677856
orbit_alignment,0.625,2,7,0.00969130452722311,0.07374253869056702,0.25155359506607056
orbit_alignment,0.625,3,4,0.381843626499176,0.0010476692114025354,0.13076236844062805
orbit_alignment,0.625,3,5,0.05554254353046417,0.03491505607962608,0.15181879699230194
orbit_alignment,0.625,3,6,0.05858200788497925,0.04800000041723251,0.187845379114151
orbit_alignment,0.625,3,7,0.06173435226082802,0.09083676338195801,0.2714134454727173
orbit_alignment,0.625,4,5,0.19411297142505646,0.026707910001277924,0.17135494947433472
orbit_alignment,0.625,4,6,0.19493164122104645,0.03921831399202347,0.18195918202400208
orbit_alignment,0.625,4,7,0.2060352861881256,0.0806632786989212,0.2267976701259613
orbit_alignment,0.625,5,6,0.00018175359582528472,0.0024712346494197845,0.04419461637735367
orbit_alignment,0.625,5,7,0.0022209128364920616,0.03326981142163277,0.14465637505054474
orbit_alignment,0.625,6,7,0.0012589432299137115,0.0244864821434021,0.10139083117246628
orbit_alignment,0.75,0,1,0.012367885559797287,0.1207544207572937,0.42113161087036133
orbit_alignment,0.75,0,2,0.0039249905385077,0.0011333816219121218,0.03368915617465973
orbit_alignment,0.75,0,3,0.08547382056713104,0.0003606505342759192,0.12786391377449036
orbit_alignment,0.75,0,4,0.2676248252391815,0.005174652673304081,0.2978982925415039
orbit_alignment,0.75,0,5,0.0030639679171144962,0.044988732784986496,0.17139387130737305
orbit_alignment,0.75,0,6,0.005282928701490164,0.05195307731628418,0.22809061408042908
orbit_alignment,0.75,0,7,0.013136344030499458,0.09089925140142441,0.34544751048088074
orbit_alignment,0.75,1,2,0.01870650425553322,0.11790760606527328,0.3945128619670868
orbit_alignment,0.75,1,3,0.09784737974405289,0.12228518724441528,0.39246681332588196
orbit_alignment,0.75,1,4,0.2733191251754761,0.11406488716602325,0.3095673620700836
orbit_alignment,0.75,1,5,0.018503429368138313,0.11056984961032867,0.3007695972919464
orbit_alignment,0.75,1,6,0.021241117268800735,0.09912309795618057,0.271028071641922
orbit_alignment,0.75,1,7,0.02907545492053032,0.059521786868572235,0.24857856333255768
orbit_alignment,0.75,2,3,0.056044165045022964,0.0026590439956635237,0.11209122091531754
orbit_alignment,0.75,2,4,0.32170403003692627,0.0016859587049111724,0.2722344994544983
orbit_alignment,0.75,2,5,0.008876664564013481,0.03503444790840149,0.14670149981975555
orbit_alignment,0.75,2,6,0.010990256443619728,0.04254914075136185,0.20232145488262177
orbit_alignment,0.75,2,7,0.017105810344219208,0.08167023956775665,0.3183412551879883
orbit_alignment,0.75,3,4,0.5385712385177612,0.007739190012216568,0.19962774217128754
orbit_alignment,0.75,3,5,0.1035783663392067,0.05067107081413269,0.20047792792320251
orbit_alignment,0.75,3,6,0.10717390477657318,0.057399459183216095,0.24246831238269806
orbit_alignment,0.75,3,7,0.1099138855934143,0.0958503931760788,0.334717720746994
orbit_alignment,0.75,4,5,0.2621421217918396,0.025217588990926743,0.2557907998561859
orbit_alignment,0.75,4,6,0.26809293031692505,0.033821217715740204,0.2585431933403015
orbit_alignment,0.75,4,7,0.2926102876663208,0.07149820029735565,0.2884041965007782
orbit_alignment,0.75,5,6,0.0005328368861228228,0.006670519709587097,0.05863877758383751
orbit_alignment,0.75,5,7,0.006650196388363838,0.03745923563838005,0.18669164180755615
