method,time,quantity,pairwise_rms_mean,pairwise_rms_std
orbit_alignment,0.375,velocity_lattice_log,0.25863337270649417,0.19305678366282358
orbit_alignment,0.375,velocity_type_logit,0.04620561953301409,0.02782885591236487
orbit_alignment,0.5,state_fractional_coordinate,0.003961601183358913,0.0035190372951676282
orbit_alignment,0.5,state_lattice_log,0.11864030450150105,0.09635973643653599
orbit_alignment,0.5,state_type_logit,0.022476986196124926,0.01577162239597293
orbit_alignment,0.5,velocity_fractional_coordinate,0.01019793449917675,0.01072957816746136
orbit_alignment,0.5,velocity_lattice_log,0.3005444171306278,0.1920155730450946
orbit_alignment,0.5,velocity_type_logit,0.058099727745034864,0.026253042878576466
orbit_alignment,0.625,state_fractional_coordinate,0.0050329192682901135,0.004659878019013692
orbit_alignment,0.625,state_lattice_log,0.1548843805877758,0.11945526452953664
orbit_alignment,0.625,state_type_logit,0.02923555055999064,0.01848318057848845
orbit_alignment,0.625,velocity_fractional_coordinate,0.012879691435955465,0.010577594862696625
orbit_alignment,0.625,velocity_lattice_log,0.33205889597801225,0.19885953106330567
orbit_alignment,0.625,velocity_type_logit,0.07677004765719175,0.027322870783084294
orbit_alignment,0.75,state_fractional_coordinate,0.006429579179634207,0.005753480361866559
orbit_alignment,0.75,state_lattice_log,0.19486478346932148,0.13902855097350694
orbit_alignment,0.75,state_type_logit,0.037514471798203886,0.020496260727736523
orbit_alignment,0.75,velocity_fractional_coordinate,0.029844410646806603,0.017970879058663528
orbit_alignment,0.75,velocity_lattice_log,0.3536480392462441,0.2130957258206052
orbit_alignment,0.75,velocity_type_logit,0.09672554855101875,0.032381249312986755
orbit_alignment,0.875,state_fractional_coordinate,0.009820141203817911,0.007183538001079924
orbit_alignment,0.875,state_lattice_log,0.2377421279504363,0.15790864117704767
orbit_alignment,0.875,state_type_logit,0.04781895676361663,0.022432110556367287
orbit_alignment,0.875,velocity_fractional_coordinate,0.02846800339674311,0.01746087106923284
orbit_alignment,0.875,velocity_lattice_log,0.36430724351001637,0.21927102722132347
orbit_alignment,0.875,velocity_type_logit,0.10726808656805328,0.036156939835486915
orbit_alignment,1.0,state_fractional_coordinate,0.013228767931910365,0.008765529167221767
orbit_alignment,1.0,state_lattice_log,0.2818050012657685,0.17852442907646543
orbit_alignment,1.0,state_type_logit,0.059507946483790874,0.02498967860442556
raw_tensor,0.0,state_fractional_coordinate,0.0,0.0
raw_tensor,0.0,state_lattice_log,0.0,0.0
raw_tensor,0.0,state_type_logit,0.0,0.0
raw_tensor,0.0,velocity_fractional_coordinate,0.028572994492216303,0.017904335916859936
raw_tensor,0.0,velocity_lattice_log,0.3145997704538916,0.17233564388445566
raw_tensor,0.0,velocity_type_logit,0.10024334340622383,0.03520286834240557
raw_tensor,0.125,state_fractional_coordinate,0.003571622445763621,0.002238040360296307
raw_tensor,0.125,state_lattice_log,0.039324974441634755,0.02154196213276083
raw_tensor,0.125,state_type_logit,0.012530418258393183,0.004400359025079495
raw_tensor,0.125,velocity_fractional_coordinate,0.02526414639682376,0.015879159830275463
raw_tensor,0.125,velocity_lattice_log,0.31228109642065,0.17254231865193656
raw_tensor,0.125,velocity_type_logit,0.09126427370522704,0.032305223031850364
raw_tensor,0.25,state_fractional_coordinate,0.006728887553825709,0.004222234092715412
raw_tensor,0.25,state_lattice_log,0.0783567360070135,0.04310663638894068
raw_tensor,0.25,state_type_logit,0.023924469798138098,0.00843295836380052
raw_tensor,0.25,velocity_fractional_coordinate,0.026609450387435833,0.020610261046240835
raw_tensor,0.25,velocity_lattice_log,0.3099421699132238,0.17252666608660336
raw_tensor,0.25,velocity_type_logit,0.0836913448292762,0.029878135244369584
raw_tensor,0.375,state_fractional_coordinate,0.009891491772058154,0.00656632104489931
raw_tensor,0.375,state_lattice_log,0.11709067232108542,0.064664767213308
raw_tensor,0.375,state_type_logit,0.0343479737306812,0.01215226116966834
raw_tensor,0.375,velocity_fractional_coordinate,0.019856584420527464,0.015118654897667942
raw_tensor,0.375,velocity_lattice_log,0.30758777147691163,0.17232286782636777
