method,time,target,posterior,entropy_nats,top_mode_mass,effective_frame_count,mode_count
orbit_alignment,0.625,0,crystal_automorphism_792,1.4518393278121948,0.669097363948822,4.270962715148926,792
orbit_alignment,0.625,1,crystal_automorphism_792,2.025663375854492,0.4992057681083679,7.581138610839844,792
orbit_alignment,0.625,2,crystal_automorphism_792,1.524122714996338,0.6501787304878235,4.591114044189453,792
orbit_alignment,0.625,3,crystal_automorphism_792,1.309804081916809,0.7044243216514587,3.7054476737976074,792
orbit_alignment,0.625,4,crystal_automorphism_792,1.3998878002166748,0.6802372336387634,4.054744720458984,792
orbit_alignment,0.625,5,crystal_automorphism_792,1.957839012145996,0.544860303401947,7.0840020179748535,792
orbit_alignment,0.625,6,crystal_automorphism_792,2.0575294494628906,0.5266181826591492,7.8266096115112305,792
orbit_alignment,0.625,7,crystal_automorphism_792,2.155539035797119,0.4753858745098114,8.632542610168457,792
orbit_alignment,0.75,0,alignment_frame,2.079441547393799,0.125,8.0,8
orbit_alignment,0.75,1,alignment_frame,2.02932071685791,0.2023618519306183,7.608916282653809,8
orbit_alignment,0.75,2,alignment_frame,2.0639402866363525,0.15106473863124847,7.876946449279785,8
orbit_alignment,0.75,3,alignment_frame,1.7712959051132202,0.24713200330734253,5.878466606140137,8
orbit_alignment,0.75,4,alignment_frame,1.1257792711257935,0.427218496799469,3.082617998123169,8
orbit_alignment,0.75,5,alignment_frame,2.0669193267822266,0.17073775827884674,7.900447368621826,8
orbit_alignment,0.75,6,alignment_frame,2.0576376914978027,0.18808968365192413,7.827456951141357,8
orbit_alignment,0.75,7,alignment_frame,2.0255990028381348,0.21910782158374786,7.580650806427002,8
orbit_alignment,0.75,0,crystal_automorphism_792,0.5112607479095459,0.9041693210601807,1.6673920154571533,792
orbit_alignment,0.75,1,crystal_automorphism_792,1.3929579257965088,0.6599091291427612,4.026743412017822,792
orbit_alignment,0.75,2,crystal_automorphism_792,0.6010688543319702,0.8837730884552002,1.82406747341156,792
orbit_alignment,0.75,3,crystal_automorphism_792,0.45803481340408325,0.9148606657981873,1.5809640884399414,792
orbit_alignment,0.75,4,crystal_automorphism_792,0.6880316138267517,0.8617480397224426,1.9897949695587158,792
orbit_alignment,0.75,5,crystal_automorphism_792,1.2658023834228516,0.7245392799377441,3.5459365844726562,792
orbit_alignment,0.75,6,crystal_automorphism_792,1.363816738128662,0.7098170518875122,3.911092519760132,792
orbit_alignment,0.75,7,crystal_automorphism_792,1.5752640962600708,0.6422980427742004,4.832017421722412,792
orbit_alignment,0.875,0,alignment_frame,2.079441547393799,0.125,8.0,8
orbit_alignment,0.875,1,alignment_frame,1.9822912216186523,0.24856489896774292,7.25935697555542,8
orbit_alignment,0.875,2,alignment_frame,2.058901309967041,0.1555444896221161,7.8373541831970215,8
orbit_alignment,0.875,3,alignment_frame,1.7181836366653442,0.2619090676307678,5.5743937492370605,8
orbit_alignment,0.875,4,alignment_frame,1.0716078281402588,0.4468833804130554,2.9200706481933594,8
orbit_alignment,0.875,5,alignment_frame,2.064298629760742,0.17747434973716736,7.879769325256348,8
orbit_alignment,0.875,6,alignment_frame,2.0508618354797363,0.19722288846969604,7.774599075317383,8
orbit_alignment,0.875,7,alignment_frame,1.9757639169692993,0.22630898654460907,7.212127208709717,8
orbit_alignment,0.875,0,crystal_automorphism_792,0.09634528309106827,0.9866552352905273,1.1011391878128052,792
orbit_alignment,0.875,1,crystal_automorphism_792,0.8222465515136719,0.8061808943748474,2.275606393814087,792
orbit_alignment,0.875,2,crystal_automorphism_792,0.10985604673624039,0.9843898415565491,1.1161173582077026,792
orbit_alignment,0.875,3,crystal_automorphism_792,0.09706135094165802,0.9864009022712708,1.1019279956817627,792
orbit_alignment,0.875,4,crystal_automorphism_792,0.27905869483947754,0.95049649477005,1.3218849897384644,792
orbit_alignment,0.875,5,crystal_automorphism_792,0.6421843767166138,0.8738231658935547,1.9006279706954956,792
orbit_alignment,0.875,6,crystal_automorphism_792,0.7320044040679932,0.8601986169815063,2.0792441368103027,792
orbit_alignment,0.875,7,crystal_automorphism_792,0.9506836533546448,0.8003444075584412,2.587477922439575,792
