variant,time,target,head,base_velocity_rms,conditional_residual_rms,gated_conditional_residual_rms,gated_residual_over_base,g_t,conditional_control,checkpoint_step
original_injection,0.75,5,lattice_log,2.097818374633789,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,6,lattice_log,2.0944879055023193,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.75,7,lattice_log,2.122718334197998,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,0,type_logit,0.5849291086196899,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,1,type_logit,0.5785667300224304,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,2,type_logit,0.5813449621200562,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,3,type_logit,0.5750471353530884,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,4,type_logit,0.5740634799003601,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,5,type_logit,0.5763946771621704,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,6,type_logit,0.5767859220504761,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,7,type_logit,0.5857753753662109,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,0,fractional_coordinate,0.027579311281442642,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,1,fractional_coordinate,0.03752638399600983,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,2,fractional_coordinate,0.029220301657915115,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,3,fractional_coordinate,0.034672439098358154,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,4,fractional_coordinate,0.05130578577518463,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,5,fractional_coordinate,0.03103172779083252,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,6,fractional_coordinate,0.033669453114271164,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,7,fractional_coordinate,0.04385286569595337,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,0,lattice_log,2.122840642929077,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,1,lattice_log,2.5595171451568604,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,2,lattice_log,2.145785093307495,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,3,lattice_log,2.2389280796051025,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,4,lattice_log,2.2474570274353027,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,5,lattice_log,2.097818374633789,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,6,lattice_log,2.0944879055023193,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.875,7,lattice_log,2.122718572616577,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,0,type_logit,0.8409361839294434,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,1,type_logit,0.8235095143318176,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,2,type_logit,0.8346965312957764,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,3,type_logit,0.824519157409668,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,4,type_logit,0.815582275390625,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,5,type_logit,0.8320722579956055,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,6,type_logit,0.8322035074234009,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,7,type_logit,0.8320306539535522,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,0,fractional_coordinate,0.03733113780617714,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,1,fractional_coordinate,0.046942923218011856,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,2,fractional_coordinate,0.03833868354558945,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,3,fractional_coordinate,0.0350644588470459,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,4,fractional_coordinate,0.04814174398779869,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,5,fractional_coordinate,0.04941529408097267,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,6,fractional_coordinate,0.053688663989305496,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,7,fractional_coordinate,0.0608222521841526,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,0,lattice_log,2.2339975833892822,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,1,lattice_log,2.523487091064453,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,2,lattice_log,2.2751717567443848,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,3,lattice_log,2.433009386062622,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,4,lattice_log,2.473245859146118,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,5,lattice_log,2.213886022567749,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,6,lattice_log,2.2063820362091064,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.0,7,lattice_log,2.2406647205352783,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,0,type_logit,0.8409361839294434,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,1,type_logit,0.8235095143318176,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,2,type_logit,0.8346965312957764,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,3,type_logit,0.824519157409668,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,4,type_logit,0.815582275390625,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,5,type_logit,0.8320722579956055,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,6,type_logit,0.8322035074234009,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,7,type_logit,0.8320306539535522,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,0,fractional_coordinate,0.03733113780617714,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,1,fractional_coordinate,0.046942923218011856,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,2,fractional_coordinate,0.03833868354558945,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,3,fractional_coordinate,0.0350644588470459,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,4,fractional_coordinate,0.04814174398779869,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,5,fractional_coordinate,0.04941529408097267,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,6,fractional_coordinate,0.053688663989305496,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,7,fractional_coordinate,0.0608222521841526,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,0,lattice_log,2.2339975833892822,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,1,lattice_log,2.523486852645874,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,2,lattice_log,2.2751717567443848,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,3,lattice_log,2.433009386062622,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,4,lattice_log,2.473245620727539,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,5,lattice_log,2.213886022567749,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,6,lattice_log,2.2063817977905273,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.125,7,lattice_log,2.2406647205352783,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,0,type_logit,0.8409361839294434,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,1,type_logit,0.8235095143318176,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,2,type_logit,0.8346965312957764,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,3,type_logit,0.824519157409668,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,4,type_logit,0.815582275390625,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,5,type_logit,0.8320722579956055,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,6,type_logit,0.8322035074234009,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,7,type_logit,0.8320306539535522,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,0,fractional_coordinate,0.03733113780617714,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,1,fractional_coordinate,0.046942923218011856,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,2,fractional_coordinate,0.03833868354558945,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,3,fractional_coordinate,0.0350644588470459,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,4,fractional_coordinate,0.04814174771308899,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,5,fractional_coordinate,0.04941529408097267,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,6,fractional_coordinate,0.053688663989305496,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,7,fractional_coordinate,0.0608222521841526,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,0,lattice_log,2.2339975833892822,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,1,lattice_log,2.523486852645874,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,2,lattice_log,2.2751717567443848,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,3,lattice_log,2.433009386062622,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,4,lattice_log,2.473245620727539,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,5,lattice_log,2.21388578414917,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,6,lattice_log,2.2063817977905273,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.25,7,lattice_log,2.2406647205352783,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,0,type_logit,0.8409361839294434,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,1,type_logit,0.8235095143318176,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,2,type_logit,0.8346965312957764,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,3,type_logit,0.824519157409668,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,4,type_logit,0.815582275390625,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,5,type_logit,0.8320722579956055,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,6,type_logit,0.8322035074234009,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,7,type_logit,0.8320306539535522,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,0,fractional_coordinate,0.03733113780617714,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,1,fractional_coordinate,0.046942923218011856,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,2,fractional_coordinate,0.03833868354558945,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,3,fractional_coordinate,0.0350644625723362,0.0,0.0,0.0,1.0,original_injection,800
original_injection,0.375,4,fractional_coordinate,0.04814174771308899,0.0,0.0,0.0,1.0,original_injection,800
