method,time,target,own_velocity_error,shuffled_velocity_error,own_target_margin,own_target_win,condition_velocity_shift_rms,checkpoint_step
residual_field,0.125,1,1.5444533824920654,1.2483912706375122,-0.2960621118545532,False,0.5897477865219116,400
residual_field,0.125,2,2.220790147781372,2.469188928604126,0.2483987808227539,True,0.6443140506744385,400
residual_field,0.125,3,2.797273635864258,2.77040958404541,-0.026864051818847656,False,0.08778354525566101,400
residual_field,0.125,4,2.592177391052246,2.5469415187835693,-0.04523587226867676,False,0.09595286846160889,400
residual_field,0.125,5,1.6812176704406738,1.77679443359375,0.09557676315307617,True,0.12501244246959686,400
residual_field,0.125,6,2.5268678665161133,2.4510035514831543,-0.07586431503295898,False,0.0445777103304863,400
residual_field,0.125,7,2.206812858581543,2.186086416244507,-0.020726442337036133,False,0.09572630375623703,400
residual_field,0.25,0,1.1255279779434204,1.0690288543701172,-0.05649912357330322,False,0.4869554042816162,400
residual_field,0.25,1,1.249582052230835,2.4239516258239746,1.1743695735931396,True,0.8703634142875671,400
residual_field,0.25,2,1.4505534172058105,2.4374587535858154,0.9869053363800049,True,0.9040626287460327,400
residual_field,0.25,3,1.0766377449035645,1.0852038860321045,0.008566141128540039,True,0.11260425299406052,400
residual_field,0.25,4,2.04409122467041,2.0019683837890625,-0.042122840881347656,False,0.09528840333223343,400
residual_field,0.25,5,1.132638692855835,1.1703579425811768,0.0377192497253418,True,0.16455483436584473,400
residual_field,0.25,6,2.259035110473633,2.1746938228607178,-0.08434128761291504,False,0.07567600160837173,400
residual_field,0.25,7,2.044163942337036,2.1696507930755615,0.1254868507385254,True,0.1286919265985489,400
residual_field,0.375,0,2.3914873600006104,3.3903768062591553,0.9988894462585449,True,0.576457679271698,400
residual_field,0.375,1,1.4992915391921997,2.866854190826416,1.3675626516342163,True,1.0203418731689453,400
residual_field,0.375,2,0.9438437223434448,1.7862355709075928,0.842391848564148,True,1.041393756866455,400
residual_field,0.375,3,1.755919337272644,1.7847422361373901,0.028822898864746094,True,0.13184048235416412,400
residual_field,0.375,4,1.0519990921020508,1.1443085670471191,0.09230947494506836,True,0.1276589184999466,400
residual_field,0.375,5,1.6931654214859009,1.5365242958068848,-0.1566411256790161,False,0.25408461689949036,400
residual_field,0.375,6,1.3207606077194214,1.270802617073059,-0.049957990646362305,False,0.10067678242921829,400
residual_field,0.375,7,1.259454607963562,1.4048218727111816,0.14536726474761963,True,0.1469261348247528,400
residual_field,0.5,0,2.2344932556152344,2.4070887565612793,0.17259550094604492,True,0.6343010663986206,400
residual_field,0.5,1,2.4862208366394043,2.2482528686523438,-0.23796796798706055,False,1.0866475105285645,400
residual_field,0.5,2,1.1063019037246704,2.678312063217163,1.5720101594924927,True,1.1391077041625977,400
residual_field,0.5,3,2.1447958946228027,1.935291051864624,-0.2095048427581787,False,0.14187881350517273,400
residual_field,0.5,4,2.4617977142333984,2.350731372833252,-0.11106634140014648,False,0.14498668909072876,400
residual_field,0.5,5,1.8855600357055664,2.1175436973571777,0.23198366165161133,True,0.17850348353385925,400
residual_field,0.5,6,1.2109218835830688,1.206683874130249,-0.004238009452819824,False,0.09952166676521301,400
residual_field,0.5,7,1.6433889865875244,1.751361608505249,0.10797262191772461,True,0.14977949857711792,400
residual_field,0.625,0,2.4348039627075195,1.6601697206497192,-0.7746342420578003,False,0.5737913250923157,400
