time,representation,source_left,source_right,representation_distance,target_distance,lift_difference,exact_representation_collision
0.0625,wrapped_torus,22,46,2.6455343850630153,0.6923084392218394,0.866025427443211,False
0.0625,wrapped_torus,26,61,2.702849920330214,0.41405253658690244,1.4142135729098075,False
0.0625,wrapped_torus,32,49,2.8158843250015804,0.7042238474183449,1.6583123951777035,False
0.0625,wrapped_torus,40,50,2.9515938319555115,0.6399774016774504,1.2247448044744798,False
0.0625,wrapped_torus,45,48,2.9040409520530286,1.242703047042232,1.322875649900186,False
0.0625,wrapped_torus,45,50,2.723090041481605,0.9100430646177182,1.5811387829625816,False
0.0625,wrapped_torus,49,54,2.0335080520812374,0.7751790340740842,1.5811387829625838,False
0.0625,wrapped_torus,52,53,2.7305775459294823,1.1138865549776056,1.6583123861919642,False
0.0625,wrapped_torus,60,63,2.796653325768857,1.1696155725084794,1.9364916557901248,False
0.0625,production_input,0,25,4.248425066991599,0.8749701439181244,1.5811387876747434,False
0.0625,production_input,0,27,4.075352956359861,0.8552730214138307,1.5000000161429252,False
0.0625,production_input,4,50,4.254837085418313,1.016826102050613,1.9364916423240035,False
0.0625,production_input,6,42,3.6934230821055807,1.3854102304671405,2.1794494649332163,False
0.0625,production_input,9,45,3.3245426070460744,0.7641478380238843,1.322875655532298,False
0.0625,production_input,11,49,4.016624733492218,0.6324443555894912,1.6583123974241374,False
0.0625,production_input,13,15,4.272687978165883,0.8720433325383712,1.4999999670932713,False
0.0625,production_input,14,15,4.262542382889398,0.3363997787961278,6.352138865832771e-08,False
0.0625,production_input,14,23,4.317233436641664,0.7044017126931641,1.2247448379330352,False
0.0625,production_input,15,19,4.277468175653037,0.7450529075654124,7.28815702831862e-08,False
0.0625,production_input,18,43,4.246216709105101,1.0583845044850992,1.8708287013519769,False
0.0625,production_input,19,34,4.051025928049197,0.49729521312118535,1.2247448044744838,False
0.0625,production_input,22,46,3.811976049404871,0.6923084392218394,0.866025427443211,False
0.0625,production_input,25,36,3.707812796605098,0.9363796549511998,1.2247447862243612,False
0.0625,production_input,26,59,4.24807720638979,1.1503873399676703,2.3452078811030668,False
0.0625,production_input,32,33,4.290032398562204,0.809877122429288,1.4142135202262516,False
0.0625,production_input,34,50,4.30552902762546,1.3309239783441766,2.1213202452169972,False
0.0625,production_input,40,50,4.251479770310146,0.6399774016774504,1.2247448044744798,False
0.0625,production_input,49,54,4.134440546888794,0.7751790340740842,1.5811387829625838,False
0.0625,production_input,56,61,4.300260952568727,0.5611320854807601,1.3228756386359677,False
0.0625,production_input,60,63,3.846858448324745,1.1696155725084794,1.9364916557901248,False
0.09375,universal_cover_X,1,33,0.5767353678125328,1.0089102444051619,0.8660254381972002,False
0.09375,universal_cover_X,1,53,0.5755908168423638,1.220248718329893,1.4999999552965178,False
0.09375,universal_cover_X,5,25,0.4686638038300783,0.5171462470783046,7.146345858599389e-08,False
0.09375,universal_cover_X,5,58,0.5368955636980547,0.8837418960068439,0.8660253521653052,False
0.09375,universal_cover_X,9,44,0.4657225056859551,0.9669695882643794,1.2247448774749656,False
0.09375,universal_cover_X,13,53,0.5958971071460605,0.9963526020683572,0.866025334958925,False
0.09375,universal_cover_X,14,15,0.30486231163968996,0.3363997787961278,6.352138865832771e-08,False
0.09375,universal_cover_X,14,34,0.6276987794244194,0.9057597881151799,1.2247447983911082,False
0.09375,universal_cover_X,15,29,0.5563494563198388,0.6688061324321785,0.8660253736732783,False
0.09375,universal_cover_X,16,29,0.5416539211552956,0.8448795157491398,0.8660254080860349,False
0.09375,universal_cover_X,16,46,0.5079801483004708,0.5605298191984143,4.9421560627171804e-08,False
0.09375,universal_cover_X,16,62,0.5404733169657258,0.9568649560669178,0.8660254209908186,False
0.09375,universal_cover_X,19,43,0.5692339769274052,0.8124582327733996,0.8660254381971986,False
0.09375,universal_cover_X,22,46,0.4591408198756158,0.6923084392218394,0.866025427443211,False
0.09375,universal_cover_X,23,62,0.6281799738344377,1.0479600554994524,1.3228756724286255,False
0.09375,universal_cover_X,25,36,0.4742126308200916,0.9363796549511998,1.2247447862243612,False
0.09375,universal_cover_X,25,58,0.5402117289134818,0.5899910083664045,0.8660253521653044,False
0.09375,universal_cover_X,29,46,0.40086905370537435,0.8366576989428838,0.8660254080860366,False
0.09375,universal_cover_X,37,55,0.439061700417485,0.48448188565449557,2.5809568260370952e-08,False
0.09375,universal_cover_X,44,57,0.5895969464661381,0.6505897300369208,6.664001872172836e-08,False
0.09375,universal_cover_X,47,56,0.4710292983111672,1.0498086433790665,1.2247448592248475,False
0.09375,wrapped_torus,1,13,2.8714465467044183,0.7834354003368964,1.2247448348913492,False
0.09375,wrapped_torus,3,22,2.800228530017367,0.4068301754148347,1.3228756667965198,False
0.09375,wrapped_torus,6,42,2.8012695800693552,1.3854102304671405,2.1794494649332163,False
0.09375,wrapped_torus,8,60,2.9514566922419365,0.4682747805053025,1.3228756386359686,False
0.09375,wrapped_torus,9,45,2.230559793800866,0.7641478380238843,1.322875655532298,False
0.09375,wrapped_torus,10,34,2.8309191575991646,0.6940399797765869,1.6583123345239692,False
