panel,group,value,graphs,decisions,model_nll,empirical_nll,uniform_nll,model_minus_empirical
calibration,element_token,43,779,779,3.609549637477419,4.259171069909017,4.184794067809113,-0.6496214324315972
calibration,element_token,44,1540,1540,3.3068963953426906,3.7044918766265185,4.2122192750835135,-0.39759548128382777
calibration,element_token,45,1813,1813,3.331695736605228,3.6155360927115314,4.210564551427654,-0.2838403561063032
calibration,element_token,46,1927,1927,3.386492286807339,3.617037842767265,4.190128341291234,-0.23054555595992596
calibration,element_token,47,1953,1953,3.297996088595373,3.595796517250936,4.188882453814835,-0.29780042865556244
calibration,element_token,48,2152,2152,3.28542386793071,3.523085464134038,4.172610736379001,-0.2376615962033279
calibration,element_token,49,1531,1531,3.5298667446138965,3.7768069237789614,4.157308485614464,-0.24694017916506503
calibration,element_token,50,895,895,4.142398143880194,4.291424318304394,4.169466125339228,-0.14902617442419983
calibration,element_token,51,1203,1203,2.968025811196166,3.334492950987202,4.268867473005405,-0.3664671397910358
calibration,element_token,52,867,867,3.2400833353864282,3.597060816327182,4.275466854230271,-0.3569774809407541
calibration,element_token,54,1199,1199,2.73631530080466,3.667706648573241,4.138932515765937,-0.9313913477685807
calibration,element_token,55,1406,1406,3.3444315873372608,3.811017774064585,4.151843351295755,-0.4665861867273242
calibration,element_token,56,1937,1937,3.447547178386596,3.6061503135710113,4.162205844871448,-0.15860313518441552
calibration,element_token,57,1193,1193,3.30875837702963,3.977082883097262,4.110563755374919,-0.6683245060676322
calibration,element_token,58,1911,1911,3.368515034485462,3.5744019355618204,4.1449632105197844,-0.20588690107635782
calibration,element_token,59,1843,1843,3.2360401976322004,3.5452969741541356,4.122277704021933,-0.30925677652193573
calibration,element_token,61,1692,1692,3.231463882799126,3.6106904546009626,4.085981767067305,-0.37922657180183633
calibration,element_token,62,268,268,4.7588603412037465,4.892552303920272,3.991708176583726,-0.1336919627165252
calibration,element_token,63,72,72,6.113588233788808,6.5400765207230425,4.151528081092274,-0.4264882869342338
calibration,element_token,64,1893,1893,3.2049572336818577,3.53069900253807,4.064318591788644,-0.3257417688562124
calibration,element_token,65,1798,1798,3.314049149116499,3.5375510478457546,4.049982506391364,-0.22350189872925535
