source,assignment,integer_lift,translation_x,translation_y,translation_z,coupling_cost,second_coupling_cost,coupling_margin
38,"0,1,2,3","0,0,0,0,1,-1,-1,0,-1,0,0,-1",0.3212246894836426,-0.2364257276058197,0.9305357933044434,8.60765266418457,10.565881729125977,1.9582290649414062
39,"0,1,2,3","0,0,0,-1,0,0,0,0,-1,0,0,-1",0.5372201204299927,-0.19148387014865875,0.6143797636032104,7.336718559265137,10.024137496948242,2.6874189376831055
40,"0,1,2,3","0,0,0,-1,0,0,-1,-1,0,-1,-1,0",0.8990837335586548,0.6508574485778809,0.10534001886844635,7.877495288848877,10.947851181030273,3.0703558921813965
41,"0,1,2,3","0,0,0,0,0,0,0,0,-1,0,-1,-1",0.2258986234664917,0.3376079499721527,0.5827690362930298,10.147993087768555,12.302112579345703,2.1541194915771484
42,"0,1,2,3","0,0,0,0,0,-1,-1,0,-1,0,-1,-1",0.5729156732559204,0.42686963081359863,0.9212710857391357,10.377500534057617,12.167825698852539,1.7903251647949219
43,"0,1,2,3","0,0,0,0,1,0,0,0,0,0,0,-1",0.2701014280319214,-0.15548372268676758,0.25513163208961487,12.1337890625,12.885743141174316,0.7519540786743164
44,"0,1,2,3","0,0,0,-1,0,0,-1,-1,0,0,-1,0",0.5778700113296509,0.6724666357040405,-0.027594447135925293,11.330619812011719,12.556114196777344,1.225494384765625
45,"0,1,2,3","0,0,0,0,-1,0,0,-1,0,0,-1,0",0.385013222694397,0.8583598136901855,-0.06351900100708008,12.309236526489258,12.407751083374023,0.09851455688476562
46,"0,1,2,3","0,0,0,0,0,0,-1,0,0,0,-1,-1",0.20243844389915466,0.3779188394546509,0.4786439836025238,6.954526901245117,8.783767700195312,1.8292407989501953
47,"0,1,2,3","0,0,0,-1,0,1,-1,0,0,-1,-1,0",0.7791981101036072,0.2879749834537506,-0.1935461312532425,9.783981323242188,9.899704933166504,0.1157236099243164
48,"0,1,2,3","0,0,0,0,0,0,-1,0,0,0,-1,0",0.27061009407043457,0.2313404232263565,0.16055910289287567,7.431884765625,11.021561622619629,3.589676856994629
49,"0,1,2,3","0,0,0,-1,-1,0,-2,-1,0,0,-1,0",0.9870338439941406,0.6732487082481384,0.11870895326137543,7.137138843536377,8.467483520507812,1.3303446769714355
50,"0,1,2,3","0,0,0,0,0,1,-1,-1,0,-1,-1,0",0.6544113755226135,0.47270941734313965,-0.15123021602630615,11.26639175415039,11.366003036499023,0.09961128234863281
51,"0,1,2,3","0,0,0,1,-1,0,0,-1,0,1,-1,0",-0.36263859272003174,0.9571014046669006,0.07023460417985916,4.737121105194092,6.551958084106445,1.8148369789123535
52,"0,1,2,3","0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2",0.7619666457176208,1.0482189655303955,1.0252909660339355,11.571319580078125,11.756475448608398,0.18515586853027344
53,"0,1,2,3","0,0,0,0,-1,0,0,-1,0,0,-1,0",0.22090870141983032,0.830418586730957,-0.20015788078308105,9.805621147155762,10.607124328613281,0.8015031814575195
54,"0,1,2,3","0,0,0,0,0,-1,-1,-1,-1,0,-1,-1",0.26895660161972046,0.6481501460075378,0.8003835678100586,7.273460388183594,9.390398025512695,2.1169376373291016
55,"0,1,2,3","0,0,0,-1,0,-1,-1,0,-1,0,-1,-1",0.6761631369590759,0.39449527859687805,0.7054641246795654,7.854814529418945,10.985166549682617,3.130352020263672
56,"0,1,2,3","0,0,0,-1,0,0,-1,0,-1,0,-1,-1",0.512262225151062,0.40458613634109497,0.4363786578178406,10.066265106201172,11.30041790008545,1.2341527938842773
57,"0,1,2,3","0,0,0,-1,0,0,-1,-1,0,0,-1,0",0.7026834487915039,0.910466730594635,0.2621299922466278,8.905163764953613,10.570286750793457,1.6651229858398438
58,"0,1,2,3","0,0,0,-1,0,0,-1,-1,0,0,-1,0",0.47912201285362244,0.5662593245506287,0.23743943870067596,13.050153732299805,14.153230667114258,1.1030769348144531
59,"0,1,2,3","0,0,0,1,-1,0,0,-1,-1,0,-1,-1",-0.09328711777925491,0.6596279144287109,0.6128771901130676,9.049811363220215,10.234838485717773,1.1850271224975586
60,"0,1,2,3","0,0,0,0,1,0,0,1,-1,0,0,0",-0.20006507635116577,-0.3049144148826599,0.48097747564315796,7.782357215881348,8.890960693359375,1.1086034774780273
61,"0,1,2,3","0,0,0,-1,0,0,-1,0,0,0,0,0",0.5326375365257263,0.17607355117797852,0.1384299248456955,7.662513732910156,7.880143165588379,0.21762943267822266
62,"0,1,2,3","0,0,0,0,0,0,-1,0,0,0,-1,0",0.49930188059806824,0.10511989891529083,0.1345464289188385,9.809094429016113,10.590798377990723,0.7817039489746094
63,"0,1,2,3","0,0,0,-1,0,0,0,0,0,0,0,-1",0.5902206897735596,0.17378437519073486,0.1252892017364502,11.122150421142578,12.301862716674805,1.1797122955322266
