variant,time,quantity,pairwise_rms
geometry_typewise_ot_no_drift_normalized,0.6875,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.6875,state_fractional_coordinate,0.014912028796970844
geometry_typewise_ot_no_drift_normalized,0.6875,state_lattice_log,0.2245667278766632
geometry_typewise_ot_no_drift_normalized,0.6875,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.6875,velocity_fractional_coordinate,0.028595054522156715
geometry_typewise_ot_no_drift_normalized,0.6875,velocity_lattice_log,0.3266424536705017
geometry_typewise_ot_no_drift_normalized,0.75,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.75,state_fractional_coordinate,0.014012997038662434
geometry_typewise_ot_no_drift_normalized,0.75,state_lattice_log,0.24498189985752106
geometry_typewise_ot_no_drift_normalized,0.75,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.75,velocity_fractional_coordinate,0.026756418868899345
geometry_typewise_ot_no_drift_normalized,0.75,velocity_lattice_log,0.32664236426353455
geometry_typewise_ot_no_drift_normalized,0.8125,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.8125,state_fractional_coordinate,0.01333667617291212
geometry_typewise_ot_no_drift_normalized,0.8125,state_lattice_log,0.2653970718383789
geometry_typewise_ot_no_drift_normalized,0.8125,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.8125,velocity_fractional_coordinate,0.024977002292871475
geometry_typewise_ot_no_drift_normalized,0.8125,velocity_lattice_log,0.3266424238681793
geometry_typewise_ot_no_drift_normalized,0.875,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.875,state_fractional_coordinate,0.012871917337179184
geometry_typewise_ot_no_drift_normalized,0.875,state_lattice_log,0.2858121991157532
geometry_typewise_ot_no_drift_normalized,0.875,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.875,velocity_fractional_coordinate,0.02001335099339485
geometry_typewise_ot_no_drift_normalized,0.875,velocity_lattice_log,0.3266424536705017
geometry_typewise_ot_no_drift_normalized,0.9375,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.9375,state_fractional_coordinate,0.012743763625621796
geometry_typewise_ot_no_drift_normalized,0.9375,state_lattice_log,0.3062273859977722
geometry_typewise_ot_no_drift_normalized,0.9375,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.9375,velocity_fractional_coordinate,0.03457208350300789
geometry_typewise_ot_no_drift_normalized,0.9375,velocity_lattice_log,0.32664239406585693
geometry_typewise_ot_no_drift_normalized,1.0,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,1.0,state_fractional_coordinate,0.012059676460921764
geometry_typewise_ot_no_drift_normalized,1.0,state_lattice_log,0.3266424834728241
joint_ot_simplex_no_drift_normalized,0.0,state_type_probability,0.0
joint_ot_simplex_no_drift_normalized,0.0,state_fractional_coordinate,0.0
joint_ot_simplex_no_drift_normalized,0.0,state_lattice_log,0.0
joint_ot_simplex_no_drift_normalized,0.0,velocity_type_probability,0.07532156258821487
joint_ot_simplex_no_drift_normalized,0.0,velocity_fractional_coordinate,0.021564539521932602
joint_ot_simplex_no_drift_normalized,0.0,velocity_lattice_log,0.34395918250083923
joint_ot_simplex_no_drift_normalized,0.0625,state_type_probability,0.004706249106675386
joint_ot_simplex_no_drift_normalized,0.0625,state_fractional_coordinate,0.0013477784814313054
joint_ot_simplex_no_drift_normalized,0.0625,state_lattice_log,0.021497448906302452
joint_ot_simplex_no_drift_normalized,0.0625,velocity_type_probability,0.07532612979412079
joint_ot_simplex_no_drift_normalized,0.0625,velocity_fractional_coordinate,0.021767593920230865
joint_ot_simplex_no_drift_normalized,0.0625,velocity_lattice_log,0.3437923491001129
joint_ot_simplex_no_drift_normalized,0.125,state_type_probability,0.009357432834804058
joint_ot_simplex_no_drift_normalized,0.125,state_fractional_coordinate,0.002707995939999819
joint_ot_simplex_no_drift_normalized,0.125,state_lattice_log,0.04298446327447891
joint_ot_simplex_no_drift_normalized,0.125,velocity_type_probability,0.0753462165594101
joint_ot_simplex_no_drift_normalized,0.125,velocity_fractional_coordinate,0.05434505641460419
joint_ot_simplex_no_drift_normalized,0.125,velocity_lattice_log,0.34369856119155884
joint_ot_simplex_no_drift_normalized,0.1875,state_type_probability,0.014001276344060898
joint_ot_simplex_no_drift_normalized,0.1875,state_fractional_coordinate,0.004478967748582363
joint_ot_simplex_no_drift_normalized,0.1875,state_lattice_log,0.06446560472249985
joint_ot_simplex_no_drift_normalized,0.1875,velocity_type_probability,0.07538217306137085
joint_ot_simplex_no_drift_normalized,0.1875,velocity_fractional_coordinate,0.07147481292486191
joint_ot_simplex_no_drift_normalized,0.1875,velocity_lattice_log,0.34366440773010254
joint_ot_simplex_no_drift_normalized,0.25,state_type_probability,0.018640749156475067
joint_ot_simplex_no_drift_normalized,0.25,state_fractional_coordinate,0.008413370698690414
joint_ot_simplex_no_drift_normalized,0.25,state_lattice_log,0.08594460785388947
joint_ot_simplex_no_drift_normalized,0.25,velocity_type_probability,0.07541415840387344
joint_ot_simplex_no_drift_normalized,0.25,velocity_fractional_coordinate,0.03577761352062225
joint_ot_simplex_no_drift_normalized,0.25,velocity_lattice_log,0.3435414135456085
joint_ot_simplex_no_drift_normalized,0.3125,state_type_probability,0.02327667735517025
joint_ot_simplex_no_drift_normalized,0.3125,state_fractional_coordinate,0.008541782386600971
joint_ot_simplex_no_drift_normalized,0.3125,state_lattice_log,0.10741592943668365
joint_ot_simplex_no_drift_normalized,0.3125,velocity_type_probability,0.07547067850828171
joint_ot_simplex_no_drift_normalized,0.3125,velocity_fractional_coordinate,0.02222057245671749
joint_ot_simplex_no_drift_normalized,0.3125,velocity_lattice_log,0.34346163272857666
joint_ot_simplex_no_drift_normalized,0.375,state_type_probability,0.027907177805900574
joint_ot_simplex_no_drift_normalized,0.375,state_fractional_coordinate,0.00987315084785223
joint_ot_simplex_no_drift_normalized,0.375,state_lattice_log,0.12888221442699432
joint_ot_simplex_no_drift_normalized,0.375,velocity_type_probability,0.07554462552070618
joint_ot_simplex_no_drift_normalized,0.375,velocity_fractional_coordinate,0.04613092541694641
joint_ot_simplex_no_drift_normalized,0.375,velocity_lattice_log,0.3433980941772461
joint_ot_simplex_no_drift_normalized,0.4375,state_type_probability,0.032483287155628204
joint_ot_simplex_no_drift_normalized,0.4375,state_fractional_coordinate,0.01133553683757782
joint_ot_simplex_no_drift_normalized,0.4375,state_lattice_log,0.15034455060958862
joint_ot_simplex_no_drift_normalized,0.4375,velocity_type_probability,0.07563547044992447
joint_ot_simplex_no_drift_normalized,0.4375,velocity_fractional_coordinate,0.05224476382136345
joint_ot_simplex_no_drift_normalized,0.4375,velocity_lattice_log,0.34337708353996277
joint_ot_simplex_no_drift_normalized,0.5,state_type_probability,0.03700682520866394
joint_ot_simplex_no_drift_normalized,0.5,state_fractional_coordinate,0.013748649507761002
joint_ot_simplex_no_drift_normalized,0.5,state_lattice_log,0.17180557548999786
joint_ot_simplex_no_drift_normalized,0.5,velocity_type_probability,0.07576902955770493
joint_ot_simplex_no_drift_normalized,0.5,velocity_fractional_coordinate,0.04204830527305603
joint_ot_simplex_no_drift_normalized,0.5,velocity_lattice_log,0.343578964471817
joint_ot_simplex_no_drift_normalized,0.5625,state_type_probability,0.04148910194635391
joint_ot_simplex_no_drift_normalized,0.5625,state_fractional_coordinate,0.015772510319948196
joint_ot_simplex_no_drift_normalized,0.5625,state_lattice_log,0.19327910244464874
joint_ot_simplex_no_drift_normalized,0.5625,velocity_type_probability,0.07593667507171631
joint_ot_simplex_no_drift_normalized,0.5625,velocity_fractional_coordinate,0.06300872564315796
joint_ot_simplex_no_drift_normalized,0.5625,velocity_lattice_log,0.34364381432533264
joint_ot_simplex_no_drift_normalized,0.625,state_type_probability,0.045940835028886795
joint_ot_simplex_no_drift_normalized,0.625,state_fractional_coordinate,0.01663093827664852
joint_ot_simplex_no_drift_normalized,0.625,state_lattice_log,0.21475668251514435
joint_ot_simplex_no_drift_normalized,0.625,velocity_type_probability,0.07615096867084503
joint_ot_simplex_no_drift_normalized,0.625,velocity_fractional_coordinate,0.06509310752153397
joint_ot_simplex_no_drift_normalized,0.625,velocity_lattice_log,0.34378430247306824
joint_ot_simplex_no_drift_normalized,0.6875,state_type_probability,0.05035366117954254
joint_ot_simplex_no_drift_normalized,0.6875,state_fractional_coordinate,0.015737127512693405
joint_ot_simplex_no_drift_normalized,0.6875,state_lattice_log,0.23624292016029358
joint_ot_simplex_no_drift_normalized,0.6875,velocity_type_probability,0.0764249637722969
joint_ot_simplex_no_drift_normalized,0.6875,velocity_fractional_coordinate,0.06127607449889183
joint_ot_simplex_no_drift_normalized,0.6875,velocity_lattice_log,0.3441469073295593
joint_ot_simplex_no_drift_normalized,0.75,state_type_probability,0.05467190966010094
joint_ot_simplex_no_drift_normalized,0.75,state_fractional_coordinate,0.015881652012467384
joint_ot_simplex_no_drift_normalized,0.75,state_lattice_log,0.25775161385536194
joint_ot_simplex_no_drift_normalized,0.75,velocity_type_probability,0.07670538127422333
joint_ot_simplex_no_drift_normalized,0.75,velocity_fractional_coordinate,0.0563858225941658
joint_ot_simplex_no_drift_normalized,0.75,velocity_lattice_log,0.3443168103694916
joint_ot_simplex_no_drift_normalized,0.8125,state_type_probability,0.05883662775158882
joint_ot_simplex_no_drift_normalized,0.8125,state_fractional_coordinate,0.016301579773426056
joint_ot_simplex_no_drift_normalized,0.8125,state_lattice_log,0.27927061915397644
joint_ot_simplex_no_drift_normalized,0.8125,velocity_type_probability,0.07698599249124527
joint_ot_simplex_no_drift_normalized,0.8125,velocity_fractional_coordinate,0.05279097706079483
joint_ot_simplex_no_drift_normalized,0.8125,velocity_lattice_log,0.3445431888103485
joint_ot_simplex_no_drift_normalized,0.875,state_type_probability,0.0626860111951828
joint_ot_simplex_no_drift_normalized,0.875,state_fractional_coordinate,0.017386754974722862
joint_ot_simplex_no_drift_normalized,0.875,state_lattice_log,0.30080318450927734
joint_ot_simplex_no_drift_normalized,0.875,velocity_type_probability,0.07730059325695038
joint_ot_simplex_no_drift_normalized,0.875,velocity_fractional_coordinate,0.04928021878004074
joint_ot_simplex_no_drift_normalized,0.875,velocity_lattice_log,0.34466996788978577
joint_ot_simplex_no_drift_normalized,0.9375,state_type_probability,0.06574241071939468
joint_ot_simplex_no_drift_normalized,0.9375,state_fractional_coordinate,0.018905678763985634
joint_ot_simplex_no_drift_normalized,0.9375,state_lattice_log,0.3223434090614319
joint_ot_simplex_no_drift_normalized,0.9375,velocity_type_probability,0.07765793800354004
joint_ot_simplex_no_drift_normalized,0.9375,velocity_fractional_coordinate,0.035960130393505096
joint_ot_simplex_no_drift_normalized,0.9375,velocity_lattice_log,0.3448282480239868
joint_ot_simplex_no_drift_normalized,1.0,state_type_probability,0.06680280715227127
joint_ot_simplex_no_drift_normalized,1.0,state_fractional_coordinate,0.01993577741086483
joint_ot_simplex_no_drift_normalized,1.0,state_lattice_log,0.3438926339149475
