repeat,material_id,identity_periodic_cost,all_atom_ot_periodic_cost,typewise_ot_periodic_cost,typewise_ot_not_worse_than_identity,no_drift_mean_abs_max,translation_quotient_terminal_rms,simplex_nonnegative,simplex_unit_sum_max_error,simplex_tangent_sum_max_error
16,JVASP-22673,0.27325576543807983,0.1375817060470581,0.17860643565654755,True,7.450580596923828e-09,1.7206378544187828e-08,True,1.1920928955078125e-07,2.86102294921875e-06
17,JVASP-1180,0.23692303895950317,0.14265945553779602,0.23692303895950317,True,1.4901161193847656e-08,8.603189272093914e-09,True,1.1920928955078125e-07,1.9073486328125e-06
17,JVASP-22673,0.28613725304603577,0.1411997675895691,0.21587783098220825,True,7.450580596923828e-09,2.820744349207871e-08,True,5.960464477539063e-08,4.291534423828125e-06
18,JVASP-1180,0.14919120073318481,0.14873433113098145,0.14919120073318481,True,7.450580596923828e-09,1.4901161193847656e-08,True,5.960464477539063e-08,3.4570693969726562e-06
18,JVASP-22673,0.28270643949508667,0.24919560551643372,0.28270643949508667,True,7.450580596923828e-09,4.214684778958144e-08,True,0.0,1.9073486328125e-06
19,JVASP-1180,0.1959424763917923,0.1315893679857254,0.1315893679857254,True,3.725290298461914e-09,1.9237317516740404e-08,True,5.960464477539063e-08,3.337860107421875e-06
19,JVASP-22673,0.3335261940956116,0.1465826779603958,0.24964064359664917,True,1.4901161193847656e-08,1.1380950404316081e-08,True,0.0,3.337860107421875e-06
20,JVASP-1180,0.22156809270381927,0.18166792392730713,0.1875430792570114,True,0.0,2.7205674157926296e-08,True,0.0,7.152557373046875e-07
20,JVASP-22673,0.17364801466464996,0.12257570028305054,0.12257570028305054,True,7.450580596923828e-09,1.1380950404316081e-08,True,0.0,1.9073486328125e-06
21,JVASP-1180,0.18158981204032898,0.13656190037727356,0.17169953882694244,True,1.1175870895385742e-08,1.4901161193847656e-08,True,1.1920928955078125e-07,2.86102294921875e-06
21,JVASP-22673,0.21691101789474487,0.19916442036628723,0.19916442036628723,True,7.450580596923828e-09,3.332000986233652e-08,True,1.1920928955078125e-07,2.0265579223632812e-06
22,JVASP-1180,0.3173602223396301,0.13400888442993164,0.1899222731590271,True,1.4901161193847656e-08,2.5809567816281742e-08,True,5.960464477539063e-08,9.5367431640625e-07
22,JVASP-22673,0.23895850777626038,0.19850966334342957,0.23895850777626038,True,7.450580596923828e-09,1.4901161193847656e-08,True,1.1920928955078125e-07,9.5367431640625e-07
23,JVASP-1180,0.2933579981327057,0.1615891456604004,0.22855162620544434,True,7.450580596923828e-09,3.624588273964946e-08,True,1.1920928955078125e-07,1.1920928955078125e-06
23,JVASP-22673,0.2708481550216675,0.149448424577713,0.197114497423172,True,1.4901161193847656e-08,8.603189272093914e-09,True,0.0,1.9073486328125e-06
24,JVASP-1180,0.2103411853313446,0.19297724962234497,0.2103411853313446,True,7.450580596923828e-09,2.5448578355735663e-08,True,1.1920928955078125e-07,1.6689300537109375e-06
24,JVASP-22673,0.3372868597507477,0.17844048142433167,0.1883661448955536,True,1.4901161193847656e-08,1.7206378544187828e-08,True,5.960464477539063e-08,3.0994415283203125e-06
25,JVASP-1180,0.3119741380214691,0.1547463834285736,0.1547463834285736,True,3.725290298461914e-09,2.7205674157926296e-08,True,0.0,1.9073486328125e-06
25,JVASP-22673,0.20863085985183716,0.18314684927463531,0.20863085985183716,True,7.450580596923828e-09,2.107342389479072e-08,True,5.960464477539063e-08,3.814697265625e-06
26,JVASP-1180,0.31944069266319275,0.12618398666381836,0.24702946841716766,True,1.4901161193847656e-08,1.9237317516740404e-08,True,1.1920928955078125e-07,2.86102294921875e-06
26,JVASP-22673,0.25597691535949707,0.1653323620557785,0.16871893405914307,True,7.450580596923828e-09,8.603189272093914e-09,True,0.0,3.814697265625e-06
27,JVASP-1180,0.25914156436920166,0.12213088572025299,0.15742388367652893,True,1.4901161193847656e-08,2.2761900808632163e-08,True,1.1920928955078125e-07,1.430511474609375e-06
27,JVASP-22673,0.22300457954406738,0.16564419865608215,0.22227516770362854,True,7.450580596923828e-09,1.1380950404316081e-08,True,0.0,9.5367431640625e-07
28,JVASP-1180,0.30258291959762573,0.16807425022125244,0.2250860333442688,True,1.4901161193847656e-08,3.0719530030864917e-08,True,5.960464477539063e-08,2.86102294921875e-06
28,JVASP-22673,0.1817496418952942,0.09764355421066284,0.15572777390480042,True,7.450580596923828e-09,4.632959260675307e-08,True,0.0,2.384185791015625e-06
29,JVASP-1180,0.23385478556156158,0.14604371786117554,0.16836920380592346,True,7.450580596923828e-09,2.2761900808632163e-08,True,0.0,2.384185791015625e-06
29,JVASP-22673,0.2841727137565613,0.11348076909780502,0.16753476858139038,True,7.450580596923828e-09,2.4333495218797907e-08,True,5.960464477539063e-08,4.0531158447265625e-06
30,JVASP-1180,0.1526365876197815,0.1526365876197815,0.1526365876197815,True,1.1175870895385742e-08,2.2761900808632163e-08,True,0.0,9.5367431640625e-07
30,JVASP-22673,0.2922978103160858,0.17027704417705536,0.2711811661720276,True,7.450580596923828e-09,2.0176267767624267e-08,True,1.1920928955078125e-07,1.9073486328125e-06
31,JVASP-1180,0.23213551938533783,0.11201313138008118,0.23213551938533783,True,1.1175870895385742e-08,3.2759970736151445e-08,True,1.1920928955078125e-07,1.9073486328125e-06
31,JVASP-22673,0.2427826076745987,0.1257762312889099,0.1599614918231964,True,7.450580596923828e-09,4.790053154124507e-08,True,0.0,1.430511474609375e-06
